ученик_id;имя;пол;возраст;город;тип_школы;любимый_предмет;часов_подготовки_в_неделю;репетитор;кол_во_пробников;пропусков_уроков;мотивация_1_10;часов_сна;средний_балл_года;балл_егэ;сдал;ФИО_полное;email;телефон
1;Роман;М;17;Нижний Новгород;Обычная;Физика;5.4;нет;7;11;5.0;7.9;2.4;47;да;Смирнов Роман Андреевич;roman_smirnov84@yandex.ru;8 963 557 50 25
2;Арина;Ж;17;Ростов-на-Дону;Обычная;Математика;9.1;нет;8;2;2.0;7.9;3.4;66;да;Иванова Арина Андреевна;arina2@rambler.ru;8 995 769 12 23
3;Дарья;Ж;17;Самара;Обычная;Русский язык;11.3;да;14;4;7.0;8.2;2.6;80;да;Козлова Дарья Егоровна;darya.kozlova@outlook.com;+7 (952) 136-81-80
4;Владимир;М;16;Ростов-на-Дону;Обычная;Химия;6.2;да;4;5;1.0;5.0;2.6;58;да;Лебедев Владимир Егорович;vladimir_lebedev83@gmail.com;+7-911-910-87-89
5;Дмитрий;М;17;Москва;Обычная;Русский язык;6.5;нет;6;4;2.0;6.8;3.0;61;да;Лебедев Дмитрий Николаевич;dmitriy5@yandex.ru;8 965 675 36 93
6;Милана;Ж;16;Екатеринбург;Обычная;Математика;9.1;да;4;4;6.0;5.4;3.3;81;да;Кузнецова Милана Сергеевна;milana6@gmail.com;8 943 472 16 38
7;Роман;М;17;Самара;Лицей;Физика;16.6;нет;8;2;7.0;6.8;3.9;90;да;Смирнов Роман Николаевич;roman7@yandex.ru;8 942 673 89 86
8;Дарья;Ж;17;Нижний Новгород;Обычная;Биология;0.0;нет;7;12;4.0;8.6;2.5;48;да;Голубева Дарья Владимировна;darya.golubeva@mail.ru;+7 (991) 772-56-67
9;Тимофей;М;16;Санкт-Петербург;Лицей;Биология;8.0;да;4;5;8.0;8.0;2.2;57;да;Сидоров Тимофей Николаевич;timofey9@yahoo.com;+7 (912) 877-94-38
10;Михаил;М;17;Екатеринбург;Гимназия;Информатика;3.7;нет;9;5;8.0;8.1;3.3;72;да;Виноградов Михаил Максимович;mikhail10@outlook.com;+79434639147
11;Алиса;Ж;16;Санкт-Петербург;Обычная;Биология;7.6;нет;6;4;5.0;;2.9;64;да;Васильева Алиса Максимовна;a.vasileva@mail.ru;+7 (966) 482-99-23
12;Ева;Ж;18;Москва;Обычная;Русский язык;10.0;нет;8;7;7.0;5.4;2.1;58;да;Петрова Ева Владимировна;e.petrova@mail.ru;+7 (921) 604-27-62
13;Алиса;Ж;17;Москва;Гимназия;История;11.3;нет;11;6;10.0;7.4;3.2;89;да;Иванова Алиса Владимировна;alisa_ivanova94@mail.ru;+7 (932) 725-35-34
14;Виктория;Ж;18;Ростов-на-Дону;Обычная;Математика;10.1;нет;12;6;7.0;8.5;3.4;78;да;Сидорова Виктория Артёмовна;viktoriya14@mail.ru;+7-950-320-68-34
15;Дарья;Ж;17;Казань;Обычная;Русский язык;1.2;да;6;12;3.0;7.0;2.3;30;да;Соколова Дарья Николаевна;darya_sokolova66@yandex.ru;+79138756315
16;Ева;Ж;17;Новосибирск;Гимназия;Английский язык;8.8;нет;6;3;5.0;;3.2;70;да;Лебедева Ева Максимовна;eva.lebedeva@mail.ru;+79158906768
17;Полина;Ж;17;Казань;Лицей;Химия;9.2;да;9;3;4.0;7.3;3.4;83;да;Семёнова Полина Ивановна;p.semenova@outlook.com;+79642377310
18;Егор;М;17;Ростов-на-Дону;Гимназия;Биология;6.0;нет;4;9;6.0;4.8;2.9;72;да;Богданов Егор Иванович;egor.bogdanov@gmail.com;+79941498065
19;София;Ж;17;Ростов-на-Дону;Обычная;Информатика;8.7;нет;6;2;5.0;8.2;3.1;81;да;Иванова София Егоровна;sofiya19@yandex.ru;+79616203298
20;Дмитрий;М;16;Нижний Новгород;Обычная;Биология;4.6;нет;6;7;4.0;5.7;2.5;46;да;Голубев Дмитрий Артёмович;d.golubev@yandex.ru;8 922 848 26 23
21;София;Ж;18;Самара;Обычная;История;5.9;нет;12;2;7.0;5.6;3.0;70;да;Соколова София Ивановна;sofiya.sokolova@gmail.com;+79847148751
22;Дмитрий;М;17;Москва;Обычная;Обществознание;3.9;нет;9;3;2.0;7.9;2.3;49;да;Голубев Дмитрий Артёмович;dmitriy22@rambler.ru;89495288798
23;Владимир;М;17;Ростов-на-Дону;Обычная;Физика;1.1;да;2;6;3.0;7.5;3.2;56;да;Васильев Владимир Александрович;vladimir23@yandex.ru;8 935 507 53 47
24;Ева;Ж;17;Новосибирск;Обычная;Биология;12.2;да;8;2;6.0;7.5;3.1;83;да;Лебедева Ева Максимовна;e.lebedeva@mail.ru;+79172416287
25;Ева;Ж;17;Новосибирск;Обычная;Обществознание;14.6;да;6;2;7.0;10.1;3.9;100;да;Зайцева Ева Николаевна;eva_zaytseva25@mail.ru;+7-938-963-99-80
26;София;Ж;17;Санкт-Петербург;Обычная;Информатика;14.3;нет;8;1;7.0;8.3;4.3;88;да;Виноградова София Артёмовна;sofiya26@yandex.ru;89918548090
27;Дмитрий;М;17;Ростов-на-Дону;Обычная;Информатика;15.8;да;5;4;7.0;6.6;3.8;98;да;Козлов Дмитрий Артёмович;dmitriy27@outlook.com;+7-925-314-89-47
28;Алиса;Ж;16;Санкт-Петербург;Обычная;Биология;8.0;да;4;8;4.0;7.6;2.0;66;да;Иванова Алиса Сергеевна;alisa_ivanova64@gmail.com;+79862359332
29;Дарья;Ж;17;Самара;Лицей;Биология;10.6;нет;6;5;3.0;6.8;3.4;66;да;Попова Дарья Николаевна;darya.popova@yahoo.com;+7 (969) 810-91-51
30;Артём;М;16;Нижний Новгород;Обычная;Физика;11.5;да;6;4;6.0;8.8;4.0;79;да;Васильев Артём Александрович;artem30@yandex.ru;+79974608171
31;Егор;М;18;Самара;Лицей;Английский язык;8.0;да;7;1;6.0;7.4;3.4;65;да;Морозов Егор Сергеевич;e.morozov@rambler.ru;+79737836396
32;Максим;М;17;Москва;Обычная;Биология;6.3;да;7;3;6.0;7.5;2.2;70;да;Козлов Максим Владимирович;maksim_kozlov7@gmail.com;+79369986411
33;Тимофей;М;18;Нижний Новгород;Обычная;Биология;19.3;да;6;0;7.0;5.5;4.3;92;да;Кузнецов Тимофей Егорович;timofey_kuznetsov64@rambler.ru;+7 (913) 125-58-28
34;Виктория;Ж;17;Ростов-на-Дону;Гимназия;Русский язык;6.0;нет;9;9;7.0;7.1;2.4;69;да;Соколова Виктория Максимовна;viktoriya34@gmail.com;89851573544
35;София;Ж;17;Новосибирск;Гимназия;История;3.1;да;2;6;7.0;6.7;2.1;54;да;Морозова София Дмитриевна;sofiya.morozova@yandex.ru;+7 (936) 799-42-28
36;Тимофей;М;18;Новосибирск;Обычная;Английский язык;8.5;да;4;1;4.0;5.6;3.1;67;да;Смирнов Тимофей Николаевич;timofey36@mail.ru;+79889034736
37;Милана;Ж;17;Москва;Обычная;История;10.9;нет;5;2;3.0;6.9;3.6;65;да;Сидорова Милана Дмитриевна;milana_sidorova94@mail.ru;+79044676723
38;София;Ж;17;Новосибирск;Гимназия;Химия;2.4;нет;12;8;9.0;7.5;3.0;69;да;Соловьёва София Владимировна;sofiya38@mail.ru;+79868578138
39;Егор;М;16;Нижний Новгород;Обычная;Биология;13.5;нет;11;4;7.0;;3.0;67;да;Смирнов Егор Николаевич;egor.smirnov@yahoo.com;+7-949-343-75-99
40;Ева;Ж;16;Казань;Обычная;Физика;9.6;нет;7;4;5.0;5.5;3.9;84;да;Волкова Ева Александровна;eva.volkova@rambler.ru;8 988 780 16 58
41;Кирилл;М;17;Нижний Новгород;Обычная;Математика;2.4;нет;4;1;6.0;6.6;2.8;57;да;Волков Кирилл Сергеевич;k.volkov@mail.ru;+79539079750
42;Ева;Ж;17;Москва;Обычная;Биология;15.0;да;8;2;9.0;6.7;2.8;79;да;Богданова Ева Артёмовна;eva_bogdanova10@yahoo.com;+79061134235
43;Полина;Ж;17;Нижний Новгород;Лицей;Русский язык;11.6;нет;7;6;10.0;7.3;3.7;75;да;Козлова Полина Сергеевна;polina43@yandex.ru;+7-999-981-66-38
44;Никита;М;17;Екатеринбург;Лицей;Математика;0.0;нет;7;9;5.0;6.7;2.3;37;да;Петров Никита Дмитриевич;nikita_petrov80@edu.ru;89967027987
45;Кирилл;М;17;Санкт-Петербург;Обычная;История;19.4;да;9;3;10.0;6.9;4.3;100;да;Зайцев Кирилл Николаевич;kirill.zaytsev@mail.ru;8 999 842 34 47
46;Мария;Ж;17;Казань;Обычная;Информатика;9.1;да;2;7;3.0;6.3;2.9;57;да;Голубева Мария Андреевна;mariya.golubeva@yahoo.com;89227991933
47;Иван;М;16;Санкт-Петербург;Обычная;Обществознание;3.0;да;8;9;4.0;6.6;3.0;40;нет;Смирнов Иван Максимович;ivan_smirnov44@yandex.ru;+7 (994) 626-25-58
