ученик_id;имя;пол;возраст;город;тип_школы;любимый_предмет;часов_подготовки_в_неделю;репетитор;кол_во_пробников;пропусков_уроков;мотивация_1_10;часов_сна;средний_балл_года;балл_егэ;сдал;ФИО_полное;email;телефон
1001;Матвей;М;17;Владивосток;Гимназия;Обществознание;18.9;нет;2;11.6;;5.3;3.2;100;да;Васильев Матвей Артёмович;matvey1001@gmail.com;+7 (984) 756-29-83
1002;Алиса;Ж;17;Нижний Новгород;Лицей;Математика;16.5;да;11;6.1;4.0;7.8;4.3;95;да;Соловьёва Алиса Владимировна;alisa_soloveva11@gmail.com;+79684425926
1003;Софья;Ж;18;Екатеринбург;Гимназия;Обществознание;15.1;да;0;0.4;9.0;6.0;4.2;100;да;Сидорова Софья Владимировна;sofya.sidorova@mail.ru;+7 (933) 742-74-55
1004;Артём;М;18;Москва;Лицей;Обществознание;19.7;да;5;4.5;;;2.3;93;да;Зайцев Артём Андреевич;a.zaytsev@mail.ru;8 958 200 28 64
1005;Артём;М;16;Ростов-на-Дону;Обычная;Биология;1.6;нет;9;8.4;7.0;7.3;5.0;83;да;Петров Артём Артёмович;artem1005@mail.ru;8 918 617 26 72
1006;Егор;М;18;Новосибирск;Лицей;Биология;0.7;да;8;5.5;2.0;5.4;3.7;55;да;Семёнов Егор Дмитриевич;egor.semenov@yandex.ru;+7-919-220-57-49
1007;Ева;Ж;16;Казань;Гимназия;История;1.0;нет;4;3.2;;5.5;2.2;73;да;Павлова Ева Александровна;eva_pavlova73@outlook.com;+79439005870
1008;Максим;М;17;Ростов-на-Дону;Обычная;Обществознание;1.8;нет;6;3.5;7.0;7.2;4.2;87;да;Семёнов Максим Николаевич;maksim.semenov@mail.ru;+7-990-125-83-90
1009;Егор;М;18;Владивосток;Гимназия;Математика;19.1;да;12;7.1;;;4.9;100;да;Сидоров Егор Иванович;egor1009@yandex.ru;+79687215161
1010;Тимур;М;17;Казань;Лицей;Математика;17.2;нет;6;3.9;;7.2;2.4;96;да;Иванов Тимур Максимович;timur_ivanov99@yandex.ru;89194146296
1011;Илья;М;16;Москва;Лицей;История;2.0;да;6;13.4;5.0;;2.2;67;да;Морозов Илья Сергеевич;i.morozov@outlook.com;+7 (965) 870-74-59
1012;Арина;Ж;18;Самара;Обычная;Биология;0.6;да;0;4.0;;;2.9;80;да;Морозова Арина Николаевна;arina1012@outlook.com;89109669174
1013;Данил;М;16;Владивосток;Лицей;Химия;9.0;да;7;14.4;10.0;;2.0;89;да;Голубев Данил Сергеевич;danil_golubev88@yahoo.com;+79449629037
1014;Арина;Ж;18;Санкт-Петербург;Лицей;Физика;7.9;да;2;10.9;5.0;5.8;4.7;91;да;Попова Арина Владимировна;arina_popova82@gmail.com;89968246744
1015;Мария;Ж;18;Нижний Новгород;Обычная;Информатика;12.9;да;9;7.1;;6.7;4.3;86;да;Соколова Мария Николаевна;mariya.sokolova@yandex.ru;+7 (903) 952-95-66
1016;Алиса;Ж;17;Казань;Гимназия;Математика;2.5;нет;3;6.7;;8.0;2.6;67;да;Богданова Алиса Максимовна;alisa_bogdanova92@yandex.ru;+7-929-605-56-14
1017;Анна;Ж;16;Самара;Обычная;Английский язык;11.4;нет;2;8.3;;;4.2;100;да;Соколова Анна Александровна;a.sokolova@yandex.ru;+7 (993) 901-45-34
1018;Ксения;Ж;17;Москва;Лицей;История;16.9;нет;4;1.8;9.0;;4.7;100;да;Зайцева Ксения Александровна;k.zaytseva@gmail.com;+7-935-530-78-67
1019;Матвей;М;16;Москва;Гимназия;Русский язык;19.6;нет;1;13.8;;;3.9;100;да;Соколов Матвей Максимович;matvey.sokolov@rambler.ru;+7 (980) 442-42-41
1020;Софья;Ж;17;Владивосток;Обычная;Физика;15.5;нет;12;1.4;;;4.8;100;да;Морозова Софья Александровна;sofya1020@mail.ru;8 988 166 26 17
1021;Кирилл;М;16;Санкт-Петербург;Гимназия;Математика;11.2;нет;6;6.0;10.0;;3.4;87;да;Богданов Кирилл Артёмович;kirill.bogdanov@mail.ru;+79837911368
1022;Анна;Ж;16;Москва;Гимназия;Физика;11.9;да;9;1.9;9.0;6.4;4.2;100;да;Соколова Анна Дмитриевна;anna1022@mail.ru;89312401517
1023;Анна;Ж;18;Нижний Новгород;Лицей;Химия;15.5;да;7;4.6;6.0;;3.6;96;да;Васильева Анна Владимировна;a.vasileva@yandex.ru;+7-971-979-16-64
1024;Игорь;М;17;Новосибирск;Гимназия;Биология;13.9;нет;9;10.4;10.0;7.5;3.0;93;да;Соколов Игорь Дмитриевич;igor.sokolov@outlook.com;89056073810
1025;Тимур;М;16;Ростов-на-Дону;Гимназия;Обществознание;16.1;нет;3;6.0;1.0;5.0;2.1;87;да;Богданов Тимур Иванович;t.bogdanov@edu.ru;+7 (974) 883-56-15
1026;Игорь;М;16;Екатеринбург;Гимназия;Информатика;6.8;да;2;2.9;3.0;;4.5;94;да;Новиков Игорь Сергеевич;i.novikov@yahoo.com;89839062453
1027;Виктория;Ж;17;Казань;Гимназия;История;17.6;да;1;2.2;;5.8;4.1;100;да;Лебедева Виктория Максимовна;v.lebedeva@gmail.com;+79977308534
1028;Дарья;Ж;16;Екатеринбург;Обычная;Химия;19.4;нет;3;10.9;;5.7;4.3;100;да;Морозова Дарья Ивановна;darya_morozova64@yandex.ru;+79592835157
1029;Виктория;Ж;18;Самара;Гимназия;Математика;4.1;да;7;12.9;;6.2;3.7;88;да;Павлова Виктория Андреевна;viktoriya.pavlova@mail.ru;+79961864766
1030;Софья;Ж;17;Владивосток;Гимназия;Обществознание;8.5;нет;6;6.1;8.0;;2.5;79;да;Виноградова Софья Александровна;s.vinogradova@gmail.com;+7-982-177-55-20
1031;Кирилл;М;16;Санкт-Петербург;Лицей;Математика;10.9;нет;3;10.1;5.0;8.0;2.6;79;да;Лебедев Кирилл Дмитриевич;kirill_lebedev2@gmail.com;8 936 942 54 61
1032;Тимур;М;17;Новосибирск;Обычная;Русский язык;9.5;нет;11;12.2;;;3.3;84;да;Семёнов Тимур Сергеевич;timur1032@yandex.ru;+7-956-560-81-13
1033;Илья;М;18;Москва;Лицей;Обществознание;6.8;нет;6;10.3;7.0;;3.7;92;да;Кузнецов Илья Андреевич;ilya_kuznetsov73@edu.ru;8 977 722 83 60
1034;Матвей;М;17;Новосибирск;Лицей;Физика;6.6;нет;10;13.4;;;2.1;73;да;Сидоров Матвей Владимирович;matvey1034@gmail.com;+7-923-303-18-59
1035;Игорь;М;16;Ростов-на-Дону;Обычная;Обществознание;10.4;да;5;12.9;7.0;;2.4;71;да;Новиков Игорь Владимирович;igor1035@yandex.ru;8 916 991 36 49
1036;Дарья;Ж;17;Новосибирск;Гимназия;Биология;5.5;да;2;6.7;;7.1;3.4;87;да;Богданова Дарья Егоровна;darya.bogdanova@yandex.ru;+7-936-761-68-54
1037;Анна;Ж;16;Казань;Гимназия;История;9.2;да;11;8.5;;;2.8;77;да;Попова Анна Артёмовна;anna.popova@yandex.ru;+7-963-521-80-25
1038;Артём;М;17;Ростов-на-Дону;Обычная;Английский язык;4.1;да;7;0.4;8.0;6.4;4.6;87;да;Семёнов Артём Максимович;artem1038@gmail.com;+7-901-356-24-27
1039;Виктория;Ж;16;Владивосток;Гимназия;Русский язык;14.3;нет;2;7.1;;;3.8;99;да;Зайцева Виктория Дмитриевна;viktoriya1039@mail.ru;+7-909-787-11-96
1040;Тимур;М;16;Москва;Гимназия;Химия;4.3;да;10;12.2;2.0;7.8;2.2;70;да;Волков Тимур Сергеевич;timur.volkov@gmail.com;+7-998-486-35-41
1041;Игорь;М;17;Москва;Обычная;Обществознание;16.4;да;3;14.4;;;3.2;100;да;Сидоров Игорь Александрович;i.sidorov@rambler.ru;+7 (926) 654-60-64
1042;Игорь;М;17;Казань;Обычная;История;13.1;да;6;3.2;;7.6;3.9;100;да;Смирнов Игорь Максимович;igor_smirnov6@yandex.ru;8 927 520 48 86
1043;Егор;М;17;Санкт-Петербург;Гимназия;Обществознание;19.6;нет;10;13.9;3.0;5.7;4.9;100;да;Виноградов Егор Сергеевич;egor.vinogradov@rambler.ru;89745595875
1044;Игорь;М;16;Екатеринбург;Обычная;История;15.1;да;0;2.1;8.0;5.8;2.6;90;да;Иванов Игорь Егорович;igor.ivanov@yandex.ru;89927126652
1045;Мария;Ж;17;Екатеринбург;Обычная;Русский язык;16.9;нет;5;3.6;;;4.4;100;да;Петрова Мария Владимировна;mariya1045@yandex.ru;+7 (941) 287-66-90
1046;Тимур;М;16;Казань;Обычная;Информатика;1.8;да;3;7.6;7.0;;2.7;67;да;Сидоров Тимур Иванович;t.sidorov@rambler.ru;8 931 410 46 83
1047;Кирилл;М;17;Самара;Лицей;Информатика;9.4;нет;8;9.1;;8.3;2.1;65;да;Павлов Кирилл Дмитриевич;kirill_pavlov77@yandex.ru;8 919 666 32 42
1048;Ева;Ж;17;Владивосток;Гимназия;Биология;1.4;да;11;7.0;;5.0;3.5;86;да;Зайцева Ева Андреевна;eva1048@yahoo.com;+7-995-482-59-72
1049;Матвей;М;17;Казань;Обычная;История;19.1;нет;8;10.6;;7.6;4.2;100;да;Петров Матвей Дмитриевич;matvey_petrov81@edu.ru;89038149592
1050;Анна;Ж;17;Новосибирск;Гимназия;Информатика;0.2;да;10;10.7;7.0;;3.6;79;да;Зайцева Анна Сергеевна;a.zaytseva@yahoo.com;+7-921-949-64-42
